Rank,Title,Author,Rating,Format,Copies,Availability,Wait Time,Wait Weeks
150,The Seven Year Slip,Ashley Poston,4.1,EBOOK,9.0,WAIT LIST,6 months,27.0
151,Winter Garden,Kristin Hannah,4.2,EBOOK,7.0,WAIT LIST,6 months,27.0
152,"Holmes, Marple and Poe",James Patterson,3.7,EBOOK,8.0,AVAILABLE,No wait,0.0
153,Mad Honey,Jodi Picoult,3.8,EBOOK,6.0,WAIT LIST,19 weeks,19.0
154,A Court of Thorns and Roses,Sarah J. Maas,4.4,EBOOK,20.0,WAIT LIST,6 months,27.0
155,The Hunter,Tana French,4.1,EBOOK,10.0,WAIT LIST,10 weeks,10.0
156,The Restaurant,Pamela M. Kelley,3.8,EBOOK,3.0,AVAILABLE,No wait,0.0
157,Just for the Summer,AbJimenez,4.3,EBOOK,12.0,WAIT LIST,6 months,27.0
158,People We Meet on Vacation,Emily Henry,3.9,EBOOK,8.0,WAIT LIST,6 months,27.0
159,War,Bob Woodward,2.4,EBOOK,9.0,WAIT LIST,6 months,27.0
160,The Night We Lost Him,Laura Dave,3.4,EBOOK,12.0,WAIT LIST,6 months,27.0
161,The Choice,Nora Roberts,4.1,EBOOK,15.0,AVAILABLE,No wait,0.0
162,Camino Ghosts,John Grisham,3.8,EBOOK,15.0,WAIT LIST,6 months,27.0
163,Into the Water,Paula Hawkins,3.5,EBOOK,39.0,AVAILABLE,No wait,0.0
164,Lies He Told Me,James Patterson,3.8,EBOOK,10.0,WAIT LIST,6 months,27.0
165,Fairy Tale,Stephen King,4.1,EBOOK,1.0,WAIT LIST,6 months,27.0
166,Eleanor Oliphant Is Completely Fine,Gail Honeyman,4.2,EBOOK,18.0,WAIT LIST,2 weeks,2.0
167,The Measure,Nikki Erlick,3.6,EBOOK,67.0,AVAILABLE,No wait,0.0
168,Counting Miracles,Nicholas Sparks,3.8,EBOOK,15.0,WAIT LIST,6 months,27.0
169,The Edge,David Baldacci,3.9,EBOOK,13.0,WAIT LIST,6 weeks,6.0
170,Divine Rivals,Rebecca Ross,4.2,EBOOK,10.0,WAIT LIST,8 weeks,8.0
171,Maybe You Should Talk to Someone,Lori Gottlieb,4.2,EBOOK,25.0,WAIT LIST,2 weeks,2.0
172,Never Too Late,Danielle Steel,4.0,EBOOK,10.0,AVAILABLE,No wait,0.0
173,Table for Two,Amor Towles,4.0,EBOOK,13.0,WAIT LIST,25 weeks,25.0
174,Meet Me at the Lake,Carley Fortune,3.7,EBOOK,2.0,WAIT LIST,6 months,27.0
175,The Most Fun We Ever Had,Claire Lombardo,3.7,EBOOK,9.0,WAIT LIST,6 months,27.0
176,Pretty Girls,Karin Slaughter,4.1,EBOOK,2.0,WAIT LIST,6 months,27.0
177,Resurrection Walk,Michael Connelly,4.3,EBOOK,15.0,WAIT LIST,2 weeks,2.0
178,The Cinnamon Bun Book Store,Laurie Gilmore,3.2,EBOOK,13.0,WAIT LIST,6 months,27.0
179,One Dark Window,Rachel Gillig,3.9,EBOOK,7.0,WAIT LIST,6 months,27.0
180,Love on the Brain,Ali Hazelwood,4.0,EBOOK,1.0,WAIT LIST,6 months,27.0
181,House of Earth and Blood,Sarah J. Maas,4.3,EBOOK,17.0,WAIT LIST,16 weeks,16.0
182,Hieronymus Bosch,Michael Connelly,3.7,EBOOK,1.0,WAIT LIST,12 weeks,12.0
183,Bad Summer People,Emma Rosenblum,3.3,EBOOK,9.0,AVAILABLE,No wait,0.0
184,The Running Grave,Robert Galbraith,4.1,EBOOK,8.0,WAIT LIST,2 weeks,2.0
185,Love Lettering,Kate Clayborn,3.7,EBOOK,3.0,AVAILABLE,No wait,0.0
186,Atomic Habits,James Clear,4.2,EBOOK,12.0,WAIT LIST,6 months,27.0
187,Blue Sisters,Coco Mellors,2.9,EBOOK,10.0,WAIT LIST,6 months,27.0
188,Camino Winds,John Grisham,3.6,EBOOK,12.0,WAIT LIST,6 months,27.0
189,The Perfect Marriage,Jeneva Rose,3.6,EBOOK,2.0,WAIT LIST,6 months,27.0
190,Dark Matter,Blake Crouch,4.1,EBOOK,10.0,WAIT LIST,13 weeks,13.0
191,Girls' Night Out,J. A. Jance,3.7,EBOOK,10.0,WAIT LIST,3 weeks,3.0
192,Encore in Death,J. D. Robb,4.2,EBOOK,18.0,AVAILABLE,No wait,0.0
193,One True Loves,Taylor Jenkins Reid,4.0,EBOOK,4.0,WAIT LIST,6 months,27.0
194,The Lost Bookshop,Evie Woods,3.6,EBOOK,8.0,WAIT LIST,6 months,27.0
